Habitat ,Region ,Species,Female,Male,Body length (in mm),Gnathopod 2 length (in mm)
R,Gran Canaria,Ampithoe ramondi,0,1,7.036,2.725
R,Gran Canaria,Ampithoe ramondi,1,0,6.409,2.087
R,Gran Canaria,Ampithoe ramondi,0,1,6.972,3.778
R,Gran Canaria,Ampithoe ramondi,0,1,6.116,1.909
R,Gran Canaria,Ampithoe ramondi,0,1,5.855,1.287
R,Gran Canaria,Ampithoe ramondi,0,1,6.326,2.451
R,Gran Canaria,Ampithoe ramondi,1,0,5.115,0.914
R,Gran Canaria,Ampithoe ramondi,0,1,7.496,2.675
R,Gran Canaria,Ampithoe ramondi,0,1,6.666,2.935
R,Gran Canaria,Ampithoe ramondi,1,0,6.466,2.021
R,Gran Canaria,Ampithoe ramondi,0,1,7.514,3.527
R,Gran Canaria,Ampithoe ramondi,0,1,6.668,3.232
R,Gran Canaria,Ampithoe ramondi,0,1,5.715,2.396
R,Gran Canaria,Ampithoe ramondi,0,1,6.127,2.464
R,Gran Canaria,Ampithoe ramondi,0,1,6.071,2.06
R,Gran Canaria,Ampithoe ramondi,1,0,5.408,1.101
R,Gran Canaria,Ampithoe ramondi,1,0,6.192,1.235
R,Gran Canaria,Ampithoe ramondi,1,0,4.396,0.983
R,Gran Canaria,Ampithoe ramondi,1,0,7.924,1.511
R,Gran Canaria,Ampithoe ramondi,1,0,7.269,1.653
R,Gran Canaria,Ampithoe ramondi,1,0,6.075,1.572
R,Gran Canaria,Ampithoe ramondi,1,0,6.592,1.37
S,Gran Canaria,Ampithoe ramondi,1,0,3.539,0.746
S,Gran Canaria,Ampithoe ramondi,1,0,3.536,0.518
S,Gran Canaria,Ampithoe ramondi,0,1,3.472,0.385
S,Gran Canaria,Ampithoe ramondi,1,0,3.6,0.636
S,Gran Canaria,Ampithoe ramondi,1,0,6.619,1.091
S,Gran Canaria,Ampithoe ramondi,0,1,3.389,1.321
S,Gran Canaria,Ampithoe ramondi,1,0,7.284,1.553
S,Gran Canaria,Ampithoe ramondi,0,1,7.379,1.762
S,Gran Canaria,Ampithoe ramondi,1,0,4.944,1.632
S,Gran Canaria,Ampithoe ramondi,1,0,3.078,0.578
S,Gran Canaria,Ampithoe ramondi,1,0,8.465,1.428
S,Gran Canaria,Ampithoe ramondi,1,0,6.825,1.159
S,Gran Canaria,Ampithoe ramondi,1,0,6.107,1.043
S,Gran Canaria,Ampithoe ramondi,1,0,3.985,0.638
